Artist,음반 판매량 인증,알려진 판매량
Drake,337.7,170.0
Garth Brooks,165.1,170.0
Kanye West,176.3,160.0
Justin Bieber,199.2,150.0
Ed Sheeran,190.9,150.0
Billy Joel,119.0,150.0
U2,110.7,150.0
Barbra Streisand,98.2,150.0
Phil Collins,90.2,150.0
Aerosmith,86.0,150.0
ABBA,64.5,150.0
Frank Sinatra,38.5,150.0
Katy Perry,155.0,143.0
Chris Brown,151.0,140.0
Bruce Springsteen,104.4,135.0
Bruno Mars,172.7,130.0
Jay-Z,113.0,125.0
Metallica,103.1,125.0
Lady Gaga,147.5,124.0
Lil Wayne,153.5,120.0
Maroon 5,129.2,120.0
Adele,113.6,120.0
Fleetwood Mac,86.9,120.0
Rod Stewart,80.6,120.0
Bee Gees,69.9,120.0
